Tarih;Saat;Enlem(N);Boylam(E);Derinlik(km);MD;ML;Mw;Yer;Çözüm Niteliği
2024.11.30;04:32:01;35.9777;27.1633;5.3;-.-;2.2;-.-;AKDENIZ;İlksel
2024.11.30;04:08:07;38.7310;42.4008;21.7;-.-;1.8;-.-;YENIKOPRU-AHLAT (BITLIS);İlksel
2024.11.30;03:32:58;37.8085;27.0180;5.0;-.-;1.6;-.-;KUSADASI KORFEZI (EGE DENIZI);İlksel
2024.11.30;03:28:18;37.8202;27.0038;7.9;-.-;2.1;-.-;KUSADASI KORFEZI (EGE DENIZI);İlksel
2024.11.30;03:13:06;37.7827;27.0040;14.1;-.-;1.7;-.-;KUSADASI KORFEZI (EGE DENIZI);İlksel
2024.11.30;03:10:15;37.7833;36.2037;4.8;-.-;1.9;-.-;HALILBEYLI-SAIMBEYLI (ADANA);İlksel
2024.11.30;03:02:51;37.8150;26.9913;11.6;-.-;2.2;-.-;KUSADASI KORFEZI (EGE DENIZI);İlksel
2024.11.30;02:58:20;37.7972;27.0058;10.6;-.-;3.5;3.4;KUSADASI KORFEZI (EGE DENIZI);İlksel
2024.11.30;02:52:06;37.6918;36.5525;4.7;-.-;1.2;-.-;CINARPINAR-(KAHRAMANMARAS);İlksel
2024.11.30;02:47:23;38.1982;37.2617;28.7;-.-;1.0;-.-;CICEKKOY-ELBISTAN (KAHRAMANMARAS);İlksel
2024.11.30;02:14:38;38.3640;37.5948;5.0;-.-;2.1;-.-;YUKARIULUPINAR-DARENDE (MALATYA);İlksel
2024.11.30;02:05:15;36.0430;27.1583;6.1;-.-;3.3;3.2;AKDENIZ;İlksel
2024.11.30;01:41:03;37.9727;36.1920;17.6;-.-;1.8;-.-;KALEBOYNU-GOKSUN (KAHRAMANMARAS);İlksel
2024.11.30;00:57:46;37.8537;36.2845;13.4;-.-;1.3;-.-;TOPALLAR-SAIMBEYLI (ADANA);İlksel
2024.11.30;00:38:31;38.1625;37.8367;5.3;-.-;2.2;-.-;POLAT-DOGANSEHIR (MALATYA);İlksel
2024.11.29;23:32:16;35.9137;31.7028;13.5;-.-;2.7;-.-;AKDENIZ;İlksel
2024.11.29;23:22:26;37.4102;27.6447;5.2;-.-;1.2;-.-;HACIAHMETLER-MILAS (MUGLA);İlksel
2024.11.29;23:14:46;37.8792;29.2882;5.0;-.-;2.2;-.-;KARAPINAR-CAL (DENIZLI);İlksel
2024.11.29;22:22:39;35.8295;31.6977;8.1;-.-;2.0;-.-;AKDENIZ;İlksel
2024.11.29;22:13:12;35.8463;31.6730;9.8;-.-;5.2;-.-;AKDENIZ;İlksel
2024.11.29;21:53:54;39.3428;40.5375;5.0;-.-;1.8;-.-;SENKOY-YEDISU (BINGOL);İlksel
2024.11.29;21:23:05;37.8253;26.8478;5.5;-.-;1.9;-.-;SISAM ADASI (EGE DENIZI);İlksel
2024.11.29;21:07:08;37.8217;26.8448;2.9;-.-;1.6;-.-;SISAM ADASI (EGE DENIZI);İlksel
2024.11.29;20:52:36;37.7642;27.3223;13.0;-.-;1.6;-.-;CAFERLI-KUSADASI (AYDIN);İlksel
2024.11.29;20:46:48;37.8622;29.6258;10.0;-.-;1.6;-.-;TUTLUCA-BOZKURT (DENIZLI);İlksel
2024.11.29;20:44:46;37.8825;29.6100;9.0;-.-;2.2;-.-;ARMUTALANI-BOZKURT (DENIZLI);İlksel
2024.11.29;20:21:40;38.2443;42.4168;12.4;-.-;1.7;-.-;SUTTASI-HIZAN (BITLIS);İlksel
2024.11.29;20:01:48;39.2935;41.4157;6.3;-.-;2.0;-.-;YARLISU-VARTO (MUS);İlksel
2024.11.29;19:49:07;38.4800;28.2940;29.2;-.-;1.2;-.-;YESILOVA-SALIHLI (MANISA);İlksel
2024.11.29;19:33:33;38.4350;39.2183;5.0;-.-;3.2;3.1;KURKKOY-SIVRICE (ELAZIG);İlksel
2024.11.29;19:11:48;37.6285;29.5887;9.4;-.-;2.9;-.-;SOGUTKOY-CARDAK (DENIZLI);İlksel
2024.11.29;19:07:02;40.1903;31.7087;8.4;-.-;2.2;-.-;SEKLI-BEYPAZARI (ANKARA);İlksel
2024.11.29;18:38:48;39.2475;41.4470;5.8;-.-;1.9;-.-;SEKI-VARTO (MUS);İlksel
2024.11.29;18:34:21;39.7915;34.3245;9.4;-.-;1.4;-.-;SULEYMANLI-YERKOY (YOZGAT);İlksel
2024.11.29;18:02:29;38.9758;30.2088;7.1;-.-;1.6;-.-;AYDINLAR-ALTINTAS (KUTAHYA);İlksel
2024.11.29;17:40:51;39.0420;29.7475;8.1;-.-;3.4;-.-;TOKUL-ASLANAPA (KUTAHYA);İlksel
2024.11.29;17:18:43;38.4172;37.5945;7.3;-.-;1.6;-.-;ASAGIULUPINAR-DARENDE (MALATYA);İlksel
2024.11.29;16:52:54;40.2240;31.7365;14.7;-.-;2.0;-.-;HIRKATEPE-BEYPAZARI (ANKARA);İlksel
2024.11.29;16:36:00;38.0400;36.5973;5.4;-.-;1.8;-.-;SARAYCIK-GOKSUN (KAHRAMANMARAS);İlksel
2024.11.29;16:28:04;38.3787;37.6173;5.0;-.-;2.3;-.-;YUKARIULUPINAR-DARENDE (MALATYA);İlksel
2024.11.29;16:07:25;39.4732;31.3873;21.4;-.-;1.2;-.-;KERTEK-SIVRIHISAR (ESKISEHIR);İlksel
2024.11.29;15:26:52;38.2587;42.3823;7.1;-.-;3.7;-.-;ICLIKAVAL-HIZAN (BITLIS);İlksel
2024.11.29;15:20:22;39.1972;29.4403;7.9;-.-;1.7;-.-;PUSATLAR-CAVDARHISAR (KUTAHYA);İlksel
2024.11.29;15:10:20;36.6222;27.8910;23.3;-.-;1.6;-.-;BOZBURUN ACIKLARI-MUGLA (AKDENIZ);İlksel
2024.11.29;15:09:25;38.4262;39.1452;17.4;-.-;1.6;-.-;KAVAKKOY-SIVRICE (ELAZIG);İlksel
2024.11.29;15:07:56;38.1520;36.5997;4.3;-.-;1.5;-.-;YENIYAPAN-GOKSUN (KAHRAMANMARAS);İlksel
2024.11.29;15:04:13;37.6860;35.8780;10.0;-.-;3.0;-.-;CULLUUSAGI-KOZAN (ADANA);İlksel
2024.11.29;15:02:04;38.2863;40.8555;21.6;-.-;1.7;-.-;KOCBABA-HAZRO (DIYARBAKIR);İlksel
2024.11.29;15:00:56;36.1037;33.5403;0.0;-.-;1.3;-.-;YANISLI-GULNAR (MERSIN);İlksel
2024.11.29;14:03:52;37.7915;36.4103;9.9;-.-;1.9;-.-;GEBEN-ANDIRIN (KAHRAMANMARAS);İlksel
2024.11.29;13:42:26;39.6275;29.4893;0.0;-.-;1.4;-.-;TUNCBILEK-TAVSANLI (KUTAHYA);İlksel
2024.11.29;13:26:08;39.7843;33.3353;3.7;-.-;2.3;-.-;BEDESTEN-YAHSIHAN (KIRIKKALE);İlksel
2024.11.29;13:22:14;40.2425;24.0797;9.8;-.-;2.3;-.-;YUNANISTAN;İlksel
2024.11.29;12:24:26;39.1040;27.5248;0.0;-.-;1.7;-.-;DEREKOY-SOMA (MANISA);İlksel
2024.11.29;12:12:03;39.3387;29.3340;0.0;-.-;1.3;-.-;GURPINAR-EMET (KUTAHYA);İlksel
2024.11.29;12:01:05;38.6257;39.7315;8.3;-.-;1.9;-.-;GUMUSKAYNAK-PALU (ELAZIG);İlksel
2024.11.29;11:27:14;38.3920;38.7042;26.7;-.-;2.2;-.-;DARIPINAR-KALE (MALATYA);İlksel
2024.11.29;11:02:33;38.3572;38.7923;5.0;-.-;1.6;-.-;CANAKCI-KALE (MALATYA);İlksel
2024.11.29;09:47:43;40.0728;42.8173;3.7;-.-;1.7;-.-;YARKAYA-SARIKAMIS (KARS);İlksel
2024.11.29;09:43:17;37.7742;26.8947;16.8;-.-;1.3;-.-;SISAM ADASI (EGE DENIZI);İlksel
2024.11.29;09:22:40;37.8822;29.2548;8.5;-.-;1.9;-.-;IRLIGANLI-(DENIZLI);İlksel
2024.11.29;08:46:53;37.9657;27.3768;13.4;-.-;1.3;-.-;SELCUK (IZMIR);İlksel
2024.11.29;08:27:11;38.0155;37.3598;5.0;-.-;1.5;-.-;BARIS-NURHAK (KAHRAMANMARAS);İlksel
2024.11.29;08:23:43;38.0345;29.0460;1.9;-.-;2.3;-.-;BELENARDIC-AKKOY (DENIZLI);İlksel
2024.11.29;08:21:56;37.0657;28.8040;8.2;-.-;1.6;-.-;YAYLA-KOYCEGIZ (MUGLA);İlksel
2024.11.29;07:50:18;38.7847;37.4205;4.3;-.-;1.0;-.-;YUVA-GURUN (SIVAS);İlksel
2024.11.29;07:06:55;36.9657;28.0113;10.7;-.-;1.5;-.-;GOKOVA KORFEZI (AKDENIZ);İlksel
2024.11.29;07:06:23;38.0645;37.8383;11.2;-.-;1.3;-.-;GUNEDOGRU-DOGANSEHIR (MALATYA);İlksel
2024.11.29;06:29:53;37.8792;26.9370;7.5;-.-;1.1;-.-;KUSADASI KORFEZI (EGE DENIZI);İlksel
2024.11.29;06:14:57;40.2963;26.9827;14.9;-.-;1.2;-.-;CATALTEPE-LAPSEKI (CANAKKALE);İlksel
2024.11.29;06:13:15;40.2795;26.9847;13.1;-.-;1.7;-.-;CATALTEPE-LAPSEKI (CANAKKALE);İlksel
2024.11.29;06:07:24;39.2745;29.2612;17.1;-.-;1.0;-.-;IGDEKOY-EMET (KUTAHYA);İlksel
2024.11.29;05:55:50;40.7038;30.5367;12.3;-.-;1.4;-.-;TEKETABAN-KARAPURCEK (SAKARYA);İlksel
2024.11.29;05:54:40;37.8363;29.3058;14.1;-.-;1.3;-.-;GURLEYIK-HONAZ (DENIZLI);İlksel
2024.11.29;05:49:00;38.3835;36.7623;26.9;-.-;0.9;-.-;INCIRLI-AFSIN (KAHRAMANMARAS);İlksel
2024.11.29;05:36:17;37.3272;36.2845;4.9;-.-;1.5;-.-;CERCIOGLU-DUZICI (OSMANIYE);İlksel
2024.11.29;05:15:28;37.8268;29.3543;15.2;-.-;1.1;-.-;DERECIFTLIK-HONAZ (DENIZLI);İlksel
2024.11.29;05:14:41;37.8742;29.2707;9.1;-.-;1.3;-.-;GURLEYIK-HONAZ (DENIZLI);İlksel
